cv,best_score,best_params,medidas
5,0.9964285714285716,"{'C': 3, 'gamma': 0.0002, 'kernel': 'rbf'}","{'mean_fit_time': array([0.17857423, 0.1883935 , 0.18113909, 0.17627168]), 'std_fit_time': array([0.01760398, 0.02702129, 0.04605282, 0.0263209 ]), 'mean_score_time': array([0.25581231, 0.24086723, 0.23532224, 0.19445167]), 'std_score_time': array([0.0503994 , 0.08819205, 0.01199701, 0.0440071 ]), 'param_C': masked_array(data=[1, 1, 3, 3],
             mask=[False, False, False, False],
       fill_value=999999), 'param_gamma': masked_array(data=[0.0001, 0.0002, 0.0001, 0.0002],
             mask=[False, False, False, False],
       fill_value=1e+20), 'param_kernel': masked_array(data=['rbf', 'rbf', 'rbf', 'rbf'],
             mask=[False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}, {'C': 1, 'gamma': 0.0002, 'kernel': 'rbf'}, {'C': 3, 'gamma': 0.0001, 'kernel': 'rbf'}, {'C': 3, 'gamma': 0.0002, 'kernel': 'rbf'}], 'split0_test_accuracy': array([0.9375, 0.9375, 0.9375, 0.9375]), 'split1_test_accuracy': array([0.5625, 0.5625, 0.75  , 0.9375]), 'split2_test_accuracy': array([1., 1., 1., 1.]), 'split3_test_accuracy': array([0.46666667, 0.46666667, 0.8       , 0.86666667]), 'split4_test_accuracy': array([0.46666667, 0.6       , 0.8       , 1.        ]), 'mean_test_accuracy': array([0.68666667, 0.71333333, 0.8575    , 0.94833333]), 'std_test_accuracy': array([0.23380013, 0.21394768, 0.09473648, 0.04948344]), 'rank_test_accuracy': array([4, 3, 2, 1], dtype=int32), 'split0_test_precision': array([1.        , 1.        , 1.        , 0.88888889]), 'split1_test_precision': array([1., 1., 1., 1.]), 'split2_test_precision': array([1., 1., 1., 1.]), 'split3_test_precision': array([0.        , 0.        , 0.85714286, 0.8       ]), 'split4_test_precision': array([0.46666667, 0.53846154, 0.83333333, 1.        ]), 'mean_test_precision': array([0.69333333, 0.70769231, 0.93809524, 0.93777778]), 'std_test_precision': array([0.40353989, 0.39643381, 0.07619048, 0.08122519]), 'rank_test_precision': array([4, 3, 1, 2], dtype=int32), 'split0_test_recall': array([0.875, 0.875, 0.875, 1.   ]), 'split1_test_recall': array([0.125, 0.125, 0.5  , 0.875]), 'split2_test_recall': array([1., 1., 1., 1.]), 'split3_test_recall': array([0.  , 0.  , 0.75, 1.  ]), 'split4_test_recall': array([1.        , 1.        , 0.71428571, 1.        ]), 'mean_test_recall': array([0.6       , 0.6       , 0.76785714, 0.975     ]), 'std_test_recall': array([0.44300113, 0.44300113, 0.16751485, 0.05      ]), 'rank_test_recall': array([3, 3, 2, 1], dtype=int32), 'split0_test_f1': array([0.93333333, 0.93333333, 0.93333333, 0.94117647]), 'split1_test_f1': array([0.22222222, 0.22222222, 0.66666667, 0.93333333]), 'split2_test_f1': array([1., 1., 1., 1.]), 'split3_test_f1': array([0.        , 0.        , 0.8       , 0.88888889]), 'split4_test_f1': array([0.63636364, 0.7       , 0.76923077, 1.        ]), 'mean_test_f1': array([0.55838384, 0.57111111, 0.83384615, 0.95267974]), 'std_test_f1': array([0.39153287, 0.39488082, 0.11897436, 0.04255419]), 'rank_test_f1': array([4, 3, 2, 1], dtype=int32), 'split0_test_ROC_AUC': array([1., 1., 1., 1.]), 'split1_test_ROC_AUC': array([0.96875 , 0.984375, 1.      , 1.      ]), 'split2_test_ROC_AUC': array([1., 1., 1., 1.]), 'split3_test_ROC_AUC': array([0.875     , 0.875     , 0.91071429, 0.98214286]), 'split4_test_ROC_AUC': array([0.96428571, 0.96428571, 0.96428571, 1.        ]), 'mean_test_ROC_AUC': array([0.96160714, 0.96473214, 0.975     , 0.99642857]), 'std_test_ROC_AUC': array([0.04584106, 0.04674514, 0.03499271, 0.00714286]), 'rank_test_ROC_AUC': array([4, 3, 2, 1], dtype=int32)}"
10,1.0,"{'C': 3, 'gamma': 0.0002, 'kernel': 'rbf'}","{'mean_fit_time': array([0.26538954, 0.24614012, 0.2093384 , 0.21378548]), 'std_fit_time': array([0.07174791, 0.06267514, 0.07463344, 0.06266332]), 'mean_score_time': array([0.20369999, 0.24621422, 0.21918268, 0.16614373]), 'std_score_time': array([0.04685988, 0.03698562, 0.04322199, 0.02934199]), 'param_C': masked_array(data=[1, 1, 3, 3],
             mask=[False, False, False, False],
       fill_value=999999), 'param_gamma': masked_array(data=[0.0001, 0.0002, 0.0001, 0.0002],
             mask=[False, False, False, False],
       fill_value=1e+20), 'param_kernel': masked_array(data=['rbf', 'rbf', 'rbf', 'rbf'],
             mask=[False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}, {'C': 1, 'gamma': 0.0002, 'kernel': 'rbf'}, {'C': 3, 'gamma': 0.0001, 'kernel': 'rbf'}, {'C': 3, 'gamma': 0.0002, 'kernel': 'rbf'}], 'split0_test_accuracy': array([1.   , 1.   , 1.   , 0.875]), 'split1_test_accuracy': array([0.875, 0.875, 0.875, 1.   ]), 'split2_test_accuracy': array([0.625, 0.625, 0.625, 1.   ]), 'split3_test_accuracy': array([0.75 , 0.75 , 0.875, 1.   ]), 'split4_test_accuracy': array([0.625, 0.625, 0.875, 1.   ]), 'split5_test_accuracy': array([1., 1., 1., 1.]), 'split6_test_accuracy': array([0.625, 0.75 , 0.875, 0.875]), 'split7_test_accuracy': array([0.875, 0.875, 0.875, 1.   ]), 'split8_test_accuracy': array([0.42857143, 0.42857143, 0.71428571, 1.        ]), 'split9_test_accuracy': array([0.42857143, 0.71428571, 0.85714286, 1.        ]), 'mean_test_accuracy': array([0.72321429, 0.76428571, 0.85714286, 0.975     ]), 'std_test_accuracy': array([0.20064469, 0.17030884, 0.10803202, 0.05      ]), 'rank_test_accuracy': array([4, 3, 2, 1], dtype=int32), 'split0_test_precision': array([1. , 1. , 1. , 0.8]), 'split1_test_precision': array([1., 1., 1., 1.]), 'split2_test_precision': array([1., 1., 1., 1.]), 'split3_test_precision': array([1., 1., 1., 1.]), 'split4_test_precision': array([1., 1., 1., 1.]), 'split5_test_precision': array([1., 1., 1., 1.]), 'split6_test_precision': array([0.66666667, 0.75      , 0.8       , 0.8       ]), 'split7_test_precision': array([1., 1., 1., 1.]), 'split8_test_precision': array([0., 0., 1., 1.]), 'split9_test_precision': array([0.42857143, 0.6       , 0.75      , 1.        ]), 'mean_test_precision': array([0.80952381, 0.835     , 0.955     , 0.96      ]), 'std_test_precision': array([0.32784599, 0.30826125, 0.09069179, 0.08      ]), 'rank_test_precision': array([4, 3, 2, 1], dtype=int32), 'split0_test_recall': array([1., 1., 1., 1.]), 'split1_test_recall': array([0.75, 0.75, 0.75, 1.  ]), 'split2_test_recall': array([0.25, 0.25, 0.25, 1.  ]), 'split3_test_recall': array([0.5 , 0.5 , 0.75, 1.  ]), 'split4_test_recall': array([0.25, 0.25, 0.75, 1.  ]), 'split5_test_recall': array([1., 1., 1., 1.]), 'split6_test_recall': array([0.5 , 0.75, 1.  , 1.  ]), 'split7_test_recall': array([0.75, 0.75, 0.75, 1.  ]), 'split8_test_recall': array([0. , 0. , 0.5, 1. ]), 'split9_test_recall': array([1., 1., 1., 1.]), 'mean_test_recall': array([0.6  , 0.625, 0.775, 1.   ]), 'std_test_recall': array([0.3391165 , 0.34003676, 0.23584953, 0.        ]), 'rank_test_recall': array([4, 3, 2, 1], dtype=int32), 'split0_test_f1': array([1.        , 1.        , 1.        , 0.88888889]), 'split1_test_f1': array([0.85714286, 0.85714286, 0.85714286, 1.        ]), 'split2_test_f1': array([0.4, 0.4, 0.4, 1. ]), 'split3_test_f1': array([0.66666667, 0.66666667, 0.85714286, 1.        ]), 'split4_test_f1': array([0.4       , 0.4       , 0.85714286, 1.        ]), 'split5_test_f1': array([1., 1., 1., 1.]), 'split6_test_f1': array([0.57142857, 0.75      , 0.88888889, 0.88888889]), 'split7_test_f1': array([0.85714286, 0.85714286, 0.85714286, 1.        ]), 'split8_test_f1': array([0.        , 0.        , 0.66666667, 1.        ]), 'split9_test_f1': array([0.6       , 0.75      , 0.85714286, 1.        ]), 'mean_test_f1': array([0.6352381 , 0.66809524, 0.82412698, 0.97777778]), 'std_test_f1': array([0.29750436, 0.29921894, 0.16618797, 0.04444444]), 'rank_test_f1': array([4, 3, 2, 1], dtype=int32), 'split0_test_ROC_AUC': array([1., 1., 1., 1.]), 'split1_test_ROC_AUC': array([1., 1., 1., 1.]), 'split2_test_ROC_AUC': array([1., 1., 1., 1.]), 'split3_test_ROC_AUC': array([1., 1., 1., 1.]), 'split4_test_ROC_AUC': array([1., 1., 1., 1.]), 'split5_test_ROC_AUC': array([1., 1., 1., 1.]), 'split6_test_ROC_AUC': array([0.875 , 0.875 , 0.9375, 1.    ]), 'split7_test_ROC_AUC': array([0.9375, 0.9375, 0.9375, 1.    ]), 'split8_test_ROC_AUC': array([1., 1., 1., 1.]), 'split9_test_ROC_AUC': array([1., 1., 1., 1.]), 'mean_test_ROC_AUC': array([0.98125, 0.98125, 0.9875 , 1.     ]), 'std_test_ROC_AUC': array([0.04001953, 0.04001953, 0.025     , 0.        ]), 'rank_test_ROC_AUC': array([3, 3, 2, 1], dtype=int32)}"
