cv,best_score,best_params,medidas
5,0.9410714285714287,{'n_neighbors': 11},"{'mean_fit_time': array([0.07121806, 0.07210665, 0.06850047]), 'std_fit_time': array([0.01310767, 0.00896008, 0.01606644]), 'mean_score_time': array([0.14679127, 0.14943881, 0.11837797]), 'std_score_time': array([0.01913824, 0.01459679, 0.01804336]), 'param_n_neighbors': masked_array(data=[11, 13, 15],
             mask=[False, False, False],
       fill_value=999999), 'params': [{'n_neighbors': 11}, {'n_neighbors': 13}, {'n_neighbors': 15}], 'split0_test_accuracy': array([0.8125, 0.875 , 0.8125]), 'split1_test_accuracy': array([0.5   , 0.5   , 0.5625]), 'split2_test_accuracy': array([0.8125, 0.75  , 0.75  ]), 'split3_test_accuracy': array([0.86666667, 0.8       , 0.73333333]), 'split4_test_accuracy': array([0.8       , 0.86666667, 0.86666667]), 'mean_test_accuracy': array([0.75833333, 0.75833333, 0.745     ]), 'std_test_accuracy': array([0.131207  , 0.13703203, 0.10278754]), 'rank_test_accuracy': array([1, 2, 3], dtype=int32), 'split0_test_precision': array([1., 1., 1.]), 'split1_test_precision': array([0., 0., 1.]), 'split2_test_precision': array([1., 1., 1.]), 'split3_test_precision': array([1.        , 1.        , 0.83333333]), 'split4_test_precision': array([1., 1., 1.]), 'mean_test_precision': array([0.8       , 0.8       , 0.96666667]), 'std_test_precision': array([0.4       , 0.4       , 0.06666667]), 'rank_test_precision': array([2, 2, 1], dtype=int32), 'split0_test_recall': array([0.625, 0.75 , 0.625]), 'split1_test_recall': array([0.   , 0.   , 0.125]), 'split2_test_recall': array([0.625, 0.5  , 0.5  ]), 'split3_test_recall': array([0.75 , 0.625, 0.625]), 'split4_test_recall': array([0.57142857, 0.71428571, 0.71428571]), 'mean_test_recall': array([0.51428571, 0.51785714, 0.51785714]), 'std_test_recall': array([0.26375429, 0.27292819, 0.20794181]), 'rank_test_recall': array([3, 1, 1], dtype=int32), 'split0_test_f1': array([0.76923077, 0.85714286, 0.76923077]), 'split1_test_f1': array([0.        , 0.        , 0.22222222]), 'split2_test_f1': array([0.76923077, 0.66666667, 0.66666667]), 'split3_test_f1': array([0.85714286, 0.76923077, 0.71428571]), 'split4_test_f1': array([0.72727273, 0.83333333, 0.83333333]), 'mean_test_f1': array([0.62457542, 0.62527473, 0.64114774]), 'std_test_f1': array([0.31514414, 0.31951724, 0.2167208 ]), 'rank_test_f1': array([3, 2, 1], dtype=int32), 'split0_test_ROC_AUC': array([0.96875  , 0.9765625, 0.984375 ]), 'split1_test_ROC_AUC': array([0.8515625, 0.8515625, 0.8125   ]), 'split2_test_ROC_AUC': array([0.9921875, 1.       , 0.9609375]), 'split3_test_ROC_AUC': array([0.90178571, 0.84821429, 0.83035714]), 'split4_test_ROC_AUC': array([0.99107143, 0.95535714, 0.91071429]), 'mean_test_ROC_AUC': array([0.94107143, 0.92633929, 0.89977679]), 'std_test_ROC_AUC': array([0.05555929, 0.06400842, 0.0684886 ]), 'rank_test_ROC_AUC': array([1, 2, 3], dtype=int32)}"
10,0.9625,{'n_neighbors': 11},"{'mean_fit_time': array([0.06033237, 0.07796793, 0.07991471]), 'std_fit_time': array([0.00441679, 0.02233632, 0.01509422]), 'mean_score_time': array([0.13537374, 0.14092987, 0.12850511]), 'std_score_time': array([0.02052389, 0.01907267, 0.02335728]), 'param_n_neighbors': masked_array(data=[11, 13, 15],
             mask=[False, False, False],
       fill_value=999999), 'params': [{'n_neighbors': 11}, {'n_neighbors': 13}, {'n_neighbors': 15}], 'split0_test_accuracy': array([0.875, 0.875, 0.875]), 'split1_test_accuracy': array([0.75 , 0.875, 0.875]), 'split2_test_accuracy': array([0.5  , 0.5  , 0.625]), 'split3_test_accuracy': array([0.5, 0.5, 0.5]), 'split4_test_accuracy': array([0.625, 0.625, 0.625]), 'split5_test_accuracy': array([0.875, 0.75 , 0.875]), 'split6_test_accuracy': array([0.75 , 0.875, 0.75 ]), 'split7_test_accuracy': array([0.75 , 0.875, 0.875]), 'split8_test_accuracy': array([0.71428571, 0.71428571, 0.71428571]), 'split9_test_accuracy': array([0.85714286, 0.85714286, 1.        ]), 'mean_test_accuracy': array([0.71964286, 0.74464286, 0.77142857]), 'std_test_accuracy': array([0.13244415, 0.14683089, 0.14677659]), 'rank_test_accuracy': array([3, 2, 1], dtype=int32), 'split0_test_precision': array([1., 1., 1.]), 'split1_test_precision': array([1., 1., 1.]), 'split2_test_precision': array([0., 0., 1.]), 'split3_test_precision': array([0., 0., 0.]), 'split4_test_precision': array([1., 1., 1.]), 'split5_test_precision': array([1., 1., 1.]), 'split6_test_precision': array([1., 1., 1.]), 'split7_test_precision': array([1., 1., 1.]), 'split8_test_precision': array([1., 1., 1.]), 'split9_test_precision': array([1., 1., 1.]), 'mean_test_precision': array([0.8, 0.8, 0.9]), 'std_test_precision': array([0.4, 0.4, 0.3]), 'rank_test_precision': array([2, 2, 1], dtype=int32), 'split0_test_recall': array([0.75, 0.75, 0.75]), 'split1_test_recall': array([0.5 , 0.75, 0.75]), 'split2_test_recall': array([0.  , 0.  , 0.25]), 'split3_test_recall': array([0., 0., 0.]), 'split4_test_recall': array([0.25, 0.25, 0.25]), 'split5_test_recall': array([0.75, 0.5 , 0.75]), 'split6_test_recall': array([0.5 , 0.75, 0.5 ]), 'split7_test_recall': array([0.5 , 0.75, 0.75]), 'split8_test_recall': array([0.5, 0.5, 0.5]), 'split9_test_recall': array([0.66666667, 0.66666667, 1.        ]), 'mean_test_recall': array([0.44166667, 0.49166667, 0.55      ]), 'std_test_recall': array([0.26100766, 0.28975564, 0.29154759]), 'rank_test_recall': array([3, 2, 1], dtype=int32), 'split0_test_f1': array([0.85714286, 0.85714286, 0.85714286]), 'split1_test_f1': array([0.66666667, 0.85714286, 0.85714286]), 'split2_test_f1': array([0. , 0. , 0.4]), 'split3_test_f1': array([0., 0., 0.]), 'split4_test_f1': array([0.4, 0.4, 0.4]), 'split5_test_f1': array([0.85714286, 0.66666667, 0.85714286]), 'split6_test_f1': array([0.66666667, 0.85714286, 0.66666667]), 'split7_test_f1': array([0.66666667, 0.85714286, 0.85714286]), 'split8_test_f1': array([0.66666667, 0.66666667, 0.66666667]), 'split9_test_f1': array([0.8, 0.8, 1. ]), 'mean_test_f1': array([0.55809524, 0.59619048, 0.65619048]), 'std_test_f1': array([0.3053625 , 0.32760244, 0.29013876]), 'rank_test_f1': array([3, 2, 1], dtype=int32), 'split0_test_ROC_AUC': array([1.     , 0.96875, 0.96875]), 'split1_test_ROC_AUC': array([1., 1., 1.]), 'split2_test_ROC_AUC': array([0.75   , 0.84375, 0.84375]), 'split3_test_ROC_AUC': array([0.9375 , 0.90625, 0.875  ]), 'split4_test_ROC_AUC': array([0.96875, 1.     , 0.90625]), 'split5_test_ROC_AUC': array([1., 1., 1.]), 'split6_test_ROC_AUC': array([1.     , 0.96875, 0.875  ]), 'split7_test_ROC_AUC': array([0.96875, 0.875  , 0.90625]), 'split8_test_ROC_AUC': array([1.        , 0.95833333, 1.        ]), 'split9_test_ROC_AUC': array([1., 1., 1.]), 'mean_test_ROC_AUC': array([0.9625    , 0.95208333, 0.9375    ]), 'std_test_ROC_AUC': array([0.07368641, 0.05436662, 0.05929271]), 'rank_test_ROC_AUC': array([1, 2, 3], dtype=int32)}"
